win = 0, tie = 1, loss = 0
win = 1, tie = 1, loss = 0
win = 2, tie = 1, loss = 0
win = 3, tie = 1, loss = 0
win = 4, tie = 1, loss = 0
win = 5, tie = 1, loss = 0
win = 6, tie = 1, loss = 0
win = 7, tie = 1, loss = 0
win = 8, tie = 1, loss = 0
win = 9, tie = 1, loss = 0
win = 10, tie = 1, loss = 0
win = 11, tie = 1, loss = 0
win = 12, tie = 1, loss = 0
win = 13, tie = 1, loss = 0
win = 14, tie = 1, loss = 0
win = 15, tie = 1, loss = 0
win = 16, tie = 1, loss = 0
win = 17, tie = 1, loss = 0
win = 18, tie = 1, loss = 0
win = 19, tie = 1, loss = 0
win = 20, tie = 1, loss = 0
win = 21, tie = 1, loss = 0
win = 21, tie = 2, loss = 0
win = 22, tie = 2, loss = 0
win = 23, tie = 2, loss = 0
win = 24, tie = 2, loss = 0
win = 24, tie = 3, loss = 0
win = 25, tie = 3, loss = 0
win = 25, tie = 4, loss = 0
win = 26, tie = 4, loss = 0
win = 27, tie = 4, loss = 0
win = 28, tie = 4, loss = 0
win = 29, tie = 4, loss = 0
win = 30, tie = 4, loss = 0
win = 31, tie = 4, loss = 0
win = 32, tie = 4, loss = 0
win = 33, tie = 4, loss = 0
win = 34, tie = 4, loss = 0
win = 35, tie = 4, loss = 0
win = 36, tie = 4, loss = 0
win = 37, tie = 4, loss = 0
win = 38, tie = 4, loss = 0
win = 39, tie = 4, loss = 0
win = 40, tie = 4, loss = 0
win = 41, tie = 4, loss = 0
win = 42, tie = 4, loss = 0
win = 43, tie = 4, loss = 0
win = 44, tie = 4, loss = 0
win = 45, tie = 4, loss = 0
win = 46, tie = 4, loss = 0
win = 47, tie = 4, loss = 0
win = 48, tie = 4, loss = 0
win = 49, tie = 4, loss = 0
win = 49, tie = 4, loss = 1
win = 49, tie = 5, loss = 1
win = 50, tie = 5, loss = 1
win = 51, tie = 5, loss = 1
win = 52, tie = 5, loss = 1
win = 53, tie = 5, loss = 1
win = 54, tie = 5, loss = 1
win = 55, tie = 5, loss = 1
win = 56, tie = 5, loss = 1
win = 57, tie = 5, loss = 1
win = 58, tie = 5, loss = 1
win = 59, tie = 5, loss = 1
win = 59, tie = 5, loss = 2
win = 60, tie = 5, loss = 2
win = 61, tie = 5, loss = 2
win = 61, tie = 6, loss = 2
win = 62, tie = 6, loss = 2
win = 63, tie = 6, loss = 2
win = 64, tie = 6, loss = 2
win = 65, tie = 6, loss = 2
win = 66, tie = 6, loss = 2
win = 67, tie = 6, loss = 2
win = 68, tie = 6, loss = 2
win = 69, tie = 6, loss = 2
win = 69, tie = 6, loss = 3
win = 70, tie = 6, loss = 3
win = 71, tie = 6, loss = 3
win = 72, tie = 6, loss = 3
win = 72, tie = 6, loss = 4
win = 73, tie = 6, loss = 4
win = 74, tie = 6, loss = 4
win = 75, tie = 6, loss = 4
win = 76, tie = 6, loss = 4
win = 76, tie = 7, loss = 4
win = 76, tie = 8, loss = 4
win = 77, tie = 8, loss = 4
win = 78, tie = 8, loss = 4
win = 79, tie = 8, loss = 4
win = 80, tie = 8, loss = 4
win = 81, tie = 8, loss = 4
win = 81, tie = 9, loss = 4
win = 82, tie = 9, loss = 4
win = 83, tie = 9, loss = 4
win = 83, tie = 10, loss = 4
win = 84, tie = 10, loss = 4
win = 84, tie = 11, loss = 4
win = 85, tie = 11, loss = 4
win = 85, tie = 12, loss = 4
win = 86, tie = 12, loss = 4
win = 86, tie = 13, loss = 4
win = 87, tie = 13, loss = 4
win = 88, tie = 13, loss = 4
win = 88, tie = 14, loss = 4
win = 89, tie = 14, loss = 4
win = 90, tie = 14, loss = 4
win = 91, tie = 14, loss = 4
win = 91, tie = 14, loss = 5
win = 92, tie = 14, loss = 5
win = 92, tie = 15, loss = 5
win = 93, tie = 15, loss = 5
win = 94, tie = 15, loss = 5
win = 95, tie = 15, loss = 5
win = 95, tie = 16, loss = 5
win = 95, tie = 17, loss = 5
win = 96, tie = 17, loss = 5
win = 97, tie = 17, loss = 5
win = 98, tie = 17, loss = 5
win = 99, tie = 17, loss = 5
win = 99, tie = 18, loss = 5
win = 100, tie = 18, loss = 5
win = 101, tie = 18, loss = 5
win = 101, tie = 18, loss = 6
win = 102, tie = 18, loss = 6
win = 103, tie = 18, loss = 6
win = 103, tie = 19, loss = 6
win = 104, tie = 19, loss = 6
win = 104, tie = 20, loss = 6
win = 104, tie = 20, loss = 7
win = 105, tie = 20, loss = 7
win = 106, tie = 20, loss = 7
win = 107, tie = 20, loss = 7
win = 108, tie = 20, loss = 7
win = 108, tie = 21, loss = 7
win = 109, tie = 21, loss = 7
win = 110, tie = 21, loss = 7
win = 111, tie = 21, loss = 7
